id,posting_user_id,name,description
ffa0bcfc-3669-45da-b766-678c4ba68bcb,d33f718d-97b6-4d42-adc1-856b31ded5b4,Spaghetti Bolognese,Delicious spaghetti bolognese with fresh ingredients and great taste.
f54fb83f-7f8c-4f25-a2f6-05f014268f37,5dc572d1-0cf6-49bc-82db-cca1cec41bdc,Vegan Buddha Bowl,Delicious vegan buddha bowl with fresh ingredients and great taste.
c6131461-403e-46f3-a89e-cd0051e0a7b4,861313ba-292d-45ba-bc1d-841a0c40b46b,Chicken Tikka Masala,Delicious chicken tikka masala with fresh ingredients and great taste.
542dd424-3fc8-44b9-9a6e-9240d7d77634,f04cdf5b-4d07-4cc8-ab36-7f0eb07b1a2d,Fish Tacos,Delicious fish tacos with fresh ingredients and great taste.
dc5b7fab-f2c5-4c74-94f0-fede30341a00,cd153e2d-2e85-4fb5-a1d6-5e32a2a55175,Greek Salad,Delicious greek salad with fresh ingredients and great taste.
e4ad0a50-b67d-4aff-aaf2-815b90e575c5,6dea04ef-eec2-44aa-a595-919f9af3e6fb,Beef Stir-Fry,Delicious beef stir-fry with fresh ingredients and great taste.
6e271d62-0049-4bd7-aa45-e76d1d3bcac8,7e7a94ab-f344-45ce-999e-7b3f4f188183,Vegetable Curry,Delicious vegetable curry with fresh ingredients and great taste.
aa6f5b77-fe8b-4823-92ec-a7970aefc03c,27857371-def4-4998-aef0-d423dbc10dbf,Shrimp Scampi,Delicious shrimp scampi with fresh ingredients and great taste.
e0d1c537-6096-46cc-9ad7-c4219d768378,e2e5d28e-11b6-4d84-9a17-8cffd5e10fd6,Quinoa Salad,Delicious quinoa salad with fresh ingredients and great taste.
5fc07310-b4ca-42b3-a810-df66d510d03d,480779f0-5692-4c60-918f-b1ec322a67dd,Margherita Pizza,Delicious margherita pizza with fresh ingredients and great taste.
e2cc8403-16cb-4fbc-8d3f-dbc06d1986d4,cdcbddb3-3152-495b-acd1-1c31697152eb,Lentil Soup,Delicious lentil soup with fresh ingredients and great taste.
2a5ee383-abb4-4dd2-8efa-7f5df439f8a1,14cf6b16-a816-4d9a-86a7-92d03f8db22e,Chicken Fajitas,Delicious chicken fajitas with fresh ingredients and great taste.
565f29db-8f4b-4345-a330-2bcf9df6139f,15f78e6d-8c1b-4759-98bd-4626a52785ea,Pancakes,Delicious pancakes with fresh ingredients and great taste.
e89f6463-93c7-487d-8e2f-8bfba4b60b6c,14cf6b16-a816-4d9a-86a7-92d03f8db22e,Caprese Salad,Delicious caprese salad with fresh ingredients and great taste.
b5993aad-685b-44e3-81da-6b78579de076,e7214fd1-4e49-4a46-a09a-93a074d44de6,Vegetable Lasagna,Delicious vegetable lasagna with fresh ingredients and great taste.
f4beb065-aa68-4031-a429-d7c03ce6fdb7,85b5474a-57d4-4362-baef-8bf4b493de8f,Tofu Stir-Fry,Delicious tofu stir-fry with fresh ingredients and great taste.
9d3979cd-6e10-43a8-835e-006003a1cb4b,12aedfe3-f88d-424b-ae0c-4182ef52d984,BBQ Pulled Pork Sandwich,Delicious bbq pulled pork sandwich with fresh ingredients and great taste.
fada94dc-e0fe-4ce7-8daa-0f80fb7d5f39,accbab95-20f1-4c0a-8565-c6c7bf51f209,Eggplant Parmesan,Delicious eggplant parmesan with fresh ingredients and great taste.
f0372169-f982-4448-907f-741894d5b5bf,ca436e6f-f767-4f62-8bce-157daaf0c63f,Sushi Rolls,Delicious sushi rolls with fresh ingredients and great taste.
ba359adf-9a74-4ecd-a072-6d8a10c0fbe8,2106fdc5-09b6-45e0-9193-627563a2a0ae,Chili Con Carne,Delicious chili con carne with fresh ingredients and great taste.
7c101f53-790a-4537-b66b-8ac9097c70cc,7c52c46f-4e4e-4031-a23e-525d371d17a5,Falafel Wrap,Delicious falafel wrap with fresh ingredients and great taste.
813383a0-7fc6-4a65-80a3-2378be9dd5b9,27857371-def4-4998-aef0-d423dbc10dbf,Stuffed Peppers,Delicious stuffed peppers with fresh ingredients and great taste.
bc5332e6-8b9e-4e10-b61c-270bee4d2f33,13482ffd-b21f-4251-ad36-7c64dece7822,Mac and Cheese,Delicious mac and cheese with fresh ingredients and great taste.
361b4d13-8598-475d-ab9a-b5b25d01df0c,dc653cd9-2705-4a62-8fbf-ba472ac0b46c,Ratatouille,Delicious ratatouille with fresh ingredients and great taste.
4928b3b5-5b2c-43be-adfa-093b2841bce5,85b5474a-57d4-4362-baef-8bf4b493de8f,Chocolate Brownies,Delicious chocolate brownies with fresh ingredients and great taste.
88f93761-84ce-4b03-bed5-daf0158a872e,dce5364e-b3e3-446d-81ce-cfa537871a04,Quinoa Chickpea Salad,"Delicious quinoa chickpea salad made with fresh, flavorful ingredients."
2c3e65c7-ab41-4549-9c6c-fcd2ad2ee5b4,14cf6b16-a816-4d9a-86a7-92d03f8db22e,Coconut Curry Shrimp,"Delicious coconut curry shrimp made with fresh, flavorful ingredients."
e7708296-e74a-4bf1-9383-c33547cf2283,94b3ed98-d68e-4371-b116-16868fe263dc,Zucchini Noodles Pesto,"Delicious zucchini noodles pesto made with fresh, flavorful ingredients."
d2434745-68e1-436f-b086-fe4057d85d98,ba9ffade-87a7-4c05-8af7-99015913bd31,Grilled Steak Chimichurri,"Delicious grilled steak chimichurri made with fresh, flavorful ingredients."
fceaa7a3-2ede-4e36-b5d0-07cbd2098f5a,4981a66c-c44d-4697-a0ab-2b57db9d4e96,Pork Carnitas Tacos,"Delicious pork carnitas tacos made with fresh, flavorful ingredients."
ca73d2bb-0870-423d-8228-2247c1a83802,8032fc62-eee9-4631-94b3-6537756011d1,Lentil Dahl,"Delicious lentil dahl made with fresh, flavorful ingredients."
76ef05e5-46e1-434f-b5b0-3de39d5bb249,0cf9dac4-f665-45d3-b38e-5103562eef4f,Tofu Katsu Bowl,"Delicious tofu katsu bowl made with fresh, flavorful ingredients."
d9cd13c6-77bd-4930-9a08-ba933ee627de,480779f0-5692-4c60-918f-b1ec322a67dd,Mango Chicken Salad,"Delicious mango chicken salad made with fresh, flavorful ingredients."
