id,name
fbf200dc-7e74-4d7f-a44a-c341d9b00d5b,kg
88eab83f-6a40-4470-a1bc-2d8d460bb105,g
b338ace5-0f97-4c56-8ac4-615241ae6885,pcs
76c5ef78-b4c1-4048-bc7d-8d3c2a43154b,cup
70b712c6-9a2e-414f-ae1d-bcf7700364f4,l
e7e4bc58-caec-4a62-b2c7-3fbc4c9b11cc,ml
85893ecf-fa96-4f5c-a6a3-d70371d83269,tsp
cc07c68b-c9a0-4de2-b0f0-b0ca4e8994ec,tbsp
a85e6a9e-8c99-410d-a1bc-ee1f6a4b13fe,clove
4900d77f-afc8-4198-95be-1d5e994ba562,stick
59bf857c-5a20-4b29-976b-f622822d733a,slice
084b380c-7637-4e31-910a-1eefe1d47b8a,pinch
b04f3df1-b071-412f-bae6-57edc70e1cbc,dash
d9cddb00-3f69-4212-ab02-5fde0f3b042f,can
7e30798b-2b0a-4e16-a0de-c27424395b1b,jar
2a6d7ed1-7fbd-479b-acb2-b4c993c2d3e8,drop
1c62b185-6686-42e1-8647-3f3746781f2b,packet















