user_id,ingredient_id,quantity,unit_id
437b6ae7-c53a-4398-ac00-4cacbb16c3d4,8cf37f89-0b9b-409f-9c1c-e0db03666966,61.6,88eab83f-6a40-4470-a1bc-2d8d460bb105
437b6ae7-c53a-4398-ac00-4cacbb16c3d4,d9f3d1c2-309c-417f-9e0f-1d39d62ea314,114.1,88eab83f-6a40-4470-a1bc-2d8d460bb105
437b6ae7-c53a-4398-ac00-4cacbb16c3d4,f2bea0e2-73c0-4d58-89e4-2d61f59424f5,74.9,88eab83f-6a40-4470-a1bc-2d8d460bb105
437b6ae7-c53a-4398-ac00-4cacbb16c3d4,79d351be-2b19-4c35-8a93-0a426832bc23,52.3,88eab83f-6a40-4470-a1bc-2d8d460bb105
437b6ae7-c53a-4398-ac00-4cacbb16c3d4,ee6611b2-a656-4c16-b938-ccede9148216,48.8,88eab83f-6a40-4470-a1bc-2d8d460bb105
437b6ae7-c53a-4398-ac00-4cacbb16c3d4,58564747-90f7-4053-bf00-599fe78dfa96,86.3,88eab83f-6a40-4470-a1bc-2d8d460bb105
437b6ae7-c53a-4398-ac00-4cacbb16c3d4,397a895b-3fe7-40a7-847c-ff5cebbceb4c,61.2,88eab83f-6a40-4470-a1bc-2d8d460bb105
29661fa1-a7dc-432a-b01d-370a9bac4d61,c4e88c03-7fef-4d55-b9b9-3a3a79d1ba83,114.9,88eab83f-6a40-4470-a1bc-2d8d460bb105
29661fa1-a7dc-432a-b01d-370a9bac4d61,ab70cc29-3c38-4990-aacb-da019ba11dd1,32.2,88eab83f-6a40-4470-a1bc-2d8d460bb105
29661fa1-a7dc-432a-b01d-370a9bac4d61,9bd72cef-87e4-4108-a047-e3df0529eee9,32.6,88eab83f-6a40-4470-a1bc-2d8d460bb105
29661fa1-a7dc-432a-b01d-370a9bac4d61,ec91d02e-e3f6-485e-b833-736251b98460,103.9,88eab83f-6a40-4470-a1bc-2d8d460bb105
29661fa1-a7dc-432a-b01d-370a9bac4d61,60c5638c-28fa-4b5e-976a-11c6de1ab517,121.7,88eab83f-6a40-4470-a1bc-2d8d460bb105
29661fa1-a7dc-432a-b01d-370a9bac4d61,70da1e02-29df-4e19-83ca-e0e29d855544,98.3,88eab83f-6a40-4470-a1bc-2d8d460bb105
29661fa1-a7dc-432a-b01d-370a9bac4d61,ec583eb9-56c3-422a-b34a-fbca1a285766,52.0,88eab83f-6a40-4470-a1bc-2d8d460bb105
29661fa1-a7dc-432a-b01d-370a9bac4d61,5c7fc23a-188d-4a53-9325-21ccef62d808,59.5,88eab83f-6a40-4470-a1bc-2d8d460bb105
cdcbddb3-3152-495b-acd1-1c31697152eb,2aa17ede-a10e-407f-8feb-41d0cc54dc7a,27.8,88eab83f-6a40-4470-a1bc-2d8d460bb105
cdcbddb3-3152-495b-acd1-1c31697152eb,31d3c9c1-2bca-4db6-8e6e-68a2e079938d,43.3,88eab83f-6a40-4470-a1bc-2d8d460bb105
