ingredient_id,category_id
f2bea0e2-73c0-4d58-89e4-2d61f59424f5,3474cacd-1736-4340-b2f0-0d54e867ac08
c0ac9074-6434-422f-87b6-6cb85e853cb4,3474cacd-1736-4340-b2f0-0d54e867ac08
2aa17ede-a10e-407f-8feb-41d0cc54dc7a,d50840dc-b61a-4fb8-a321-6ae2c20d7297
ab70cc29-3c38-4990-aacb-da019ba11dd1,0495c6e9-0cdc-456b-933b-c70f77e6bd6f
1bb34aa2-e426-46e9-a518-d44fb6b419e5,ac0c3163-6f3a-42fd-a5c3-8b90c9e5041c
5c7fc23a-188d-4a53-9325-21ccef62d808,3474cacd-1736-4340-b2f0-0d54e867ac08
5ef015e6-ac66-49a6-bc8a-d91c5ea037e3,3474cacd-1736-4340-b2f0-0d54e867ac08
b5b94f34-17ee-4324-b5aa-377619ec67fc,3474cacd-1736-4340-b2f0-0d54e867ac08
b463be3b-0e4f-4256-8702-6af84474bb96,ac0c3163-6f3a-42fd-a5c3-8b90c9e5041c
83d8df76-37b0-43f9-9f3b-dde96f2ab8c8,1bd02f98-1753-4b1e-9f10-167ba32b1277
7698a6b3-c0a2-48aa-af8c-be363a26023e,1bd02f98-1753-4b1e-9f10-167ba32b1277
f383e75c-cee2-4445-88de-922311c86037,d53d188c-a5ac-4350-9a22-8b4d164314a1
5d6b881a-bcff-4e92-84bc-935578fdb8d9,d53d188c-a5ac-4350-9a22-8b4d164314a1
709364bc-514e-4559-a8ec-ea71468dc891,d53d188c-a5ac-4350-9a22-8b4d164314a1
ec91d02e-e3f6-485e-b833-736251b98460,92c7dca9-642f-42ce-afb1-c932d00d7ea3
71f878bb-a083-41d8-b81c-8b3b2abf6e9d,92c7dca9-642f-42ce-afb1-c932d00d7ea3
0540f760-856d-455b-b8cc-ea7959723c19,d50840dc-b61a-4fb8-a321-6ae2c20d7297
f1fe8e4c-494e-42c1-9db0-7ad42a28bfee,f57438b6-86ea-4bf5-a6a7-218639b56aeb
60c5638c-28fa-4b5e-976a-11c6de1ab517,3474cacd-1736-4340-b2f0-0d54e867ac08
52b53d42-3782-4a61-972f-046752d553cf,3474cacd-1736-4340-b2f0-0d54e867ac08
afb15d83-77bb-42bc-99dd-bc35ee2fd896,0f27ac3e-8d8d-438d-aa0d-ddeb1e279063
9749559b-1b4b-483c-897b-96bd1aaa26ec,1bd02f98-1753-4b1e-9f10-167ba32b1277
4220b200-ef4c-485a-8c07-12d57bdf1688,92c7dca9-642f-42ce-afb1-c932d00d7ea3
8d86aff1-8f8d-4c9b-8cb4-306b942e283b,92c7dca9-642f-42ce-afb1-c932d00d7ea3
5af9acd5-5f52-46f2-b717-01f76a0be253,0495c6e9-0cdc-456b-933b-c70f77e6bd6f
4fa170f1-a8b7-4cd3-9e5c-dc513c1fc25f,3474cacd-1736-4340-b2f0-0d54e867ac08
e0936c15-f17a-41f2-aacb-b91c81107046,1bd02f98-1753-4b1e-9f10-167ba32b1277
87dccb5b-5262-4b27-b292-0f3bc0ea915a,ac0c3163-6f3a-42fd-a5c3-8b90c9e5041c
79d351be-2b19-4c35-8a93-0a426832bc23,0f27ac3e-8d8d-438d-aa0d-ddeb1e279063
7b9a0da2-f5f9-45d1-9fc4-8e26ed064936,d50840dc-b61a-4fb8-a321-6ae2c20d7297
d9f3d1c2-309c-417f-9e0f-1d39d62ea314,d50840dc-b61a-4fb8-a321-6ae2c20d7297
17015c7b-e74d-4774-afe9-0dd5cb837bed,d53d188c-a5ac-4350-9a22-8b4d164314a1
6162fa94-f602-4376-9659-f87433bca77e,d53d188c-a5ac-4350-9a22-8b4d164314a1
0d105985-1449-480f-8a59-a28b1a842f3c,f57438b6-86ea-4bf5-a6a7-218639b56aeb
c88c52ba-2534-40e4-8d49-3b0860df4649,92c7dca9-642f-42ce-afb1-c932d00d7ea3
678754a1-100d-4cef-ace6-2d66f80fe67e,92c7dca9-642f-42ce-afb1-c932d00d7ea3
5c92d401-9ee4-4940-9b73-86fa01228d4a,3474cacd-1736-4340-b2f0-0d54e867ac08
4c102109-1ee9-43c5-9e88-bacf0e668d0d,1bd02f98-1753-4b1e-9f10-167ba32b1277
0f6e6b4f-61e7-400f-b8d4-693e399d2b1e,3474cacd-1736-4340-b2f0-0d54e867ac08
b224635c-e836-45a3-8d9a-150bcc18b1b7,3474cacd-1736-4340-b2f0-0d54e867ac08
