user_id,ingredient_category_id
29661fa1-a7dc-432a-b01d-370a9bac4d61,f57438b6-86ea-4bf5-a6a7-218639b56aeb
7c52c46f-4e4e-4031-a23e-525d371d17a5,f57438b6-86ea-4bf5-a6a7-218639b56aeb
7c52c46f-4e4e-4031-a23e-525d371d17a5,6f580a45-22e8-4cdc-bced-7b07748aab53
dce5364e-b3e3-446d-81ce-cfa537871a04,6f580a45-22e8-4cdc-bced-7b07748aab53
0cf9dac4-f665-45d3-b38e-5103562eef4f,1bd02f98-1753-4b1e-9f10-167ba32b1277
0cf9dac4-f665-45d3-b38e-5103562eef4f,6f580a45-22e8-4cdc-bced-7b07748aab53
3a5239be-a771-4678-b252-462fa7562479,6f580a45-22e8-4cdc-bced-7b07748aab53
3a5239be-a771-4678-b252-462fa7562479,1bd02f98-1753-4b1e-9f10-167ba32b1277
703aea7e-df98-4291-a1ef-fa6411711a60,92c7dca9-642f-42ce-afb1-c932d00d7ea3
703aea7e-df98-4291-a1ef-fa6411711a60,1bd02f98-1753-4b1e-9f10-167ba32b1277
2face309-fffa-44c1-965f-1b5b53f3568e,1bd02f98-1753-4b1e-9f10-167ba32b1277
2face309-fffa-44c1-965f-1b5b53f3568e,92c7dca9-642f-42ce-afb1-c932d00d7ea3
7df670c3-6ee0-4856-959b-434b096543a7,1bd02f98-1753-4b1e-9f10-167ba32b1277
fd061d74-30ef-4827-8ca7-0591587b6121,d50840dc-b61a-4fb8-a321-6ae2c20d7297
e7214fd1-4e49-4a46-a09a-93a074d44de6,f57438b6-86ea-4bf5-a6a7-218639b56aeb
19bd7164-52a7-42d5-94ff-6431dd51e32d,92c7dca9-642f-42ce-afb1-c932d00d7ea3
1005f846-b91d-42bf-9504-5dbfb0035785,f57438b6-86ea-4bf5-a6a7-218639b56aeb
1005f846-b91d-42bf-9504-5dbfb0035785,d50840dc-b61a-4fb8-a321-6ae2c20d7297
0f993b81-020b-4762-a772-623ddb4f16ca,d50840dc-b61a-4fb8-a321-6ae2c20d7297
7cd66880-5c4e-4e4d-b966-92cb060ac2cc,f57438b6-86ea-4bf5-a6a7-218639b56aeb
7cd66880-5c4e-4e4d-b966-92cb060ac2cc,92c7dca9-642f-42ce-afb1-c932d00d7ea3
