id,user_id,recipe_id,is_favorite
3f19a00f-2258-40d2-ad89-3d517c73b46a,efb10591-3c23-4073-98a7-989bad3d7f14,46f2604e-9253-4d44-b4ce-b0f5d43a6189,True
85b082ff-c3b4-45f1-a258-ecadcb3cba61,efb10591-3c23-4073-98a7-989bad3d7f14,4a01bde6-3a2a-4e31-9e60-58d211489a7b,True
b9ca8d66-e01f-4241-be28-b7cb153e5e82,efb10591-3c23-4073-98a7-989bad3d7f14,123b2e63-3956-4c3d-9c2a-6e8adb1d2619,True
e3786fb6-c945-492f-b1d8-876ab0c65eba,efb10591-3c23-4073-98a7-989bad3d7f14,6f1f86a4-c18d-4b63-b924-5ebd7b9346ed,True
2f4639eb-52d4-41a3-9f7c-c98984e1c698,efb10591-3c23-4073-98a7-989bad3d7f14,f15d7051-a911-4479-af31-15699de6d6df,True
a6b17f8f-7342-44a6-982a-cdbd617ac4d0,efb10591-3c23-4073-98a7-989bad3d7f14,1d6a2311-504a-423e-aa5e-37a83a9ec3be,True
b83075b7-bea6-426a-b65f-ec2bc38dbd9e,efb10591-3c23-4073-98a7-989bad3d7f14,9e0f6884-eb33-43f4-ae1e-331358e0f6fc,True
38f8ef35-522c-4583-93c9-1f12247530f7,efb10591-3c23-4073-98a7-989bad3d7f14,045099ee-aa3e-41c2-8117-ab12bbdbd5b2,True
0b991ad4-8e9c-423a-a577-f3323f03061b,d805c655-36ac-4eac-b297-7b458ef9087c,c21dab7e-95d0-4338-89b3-69cfb9f745b0,True
f55586dd-c8d4-4bc9-bff6-5ec8bbc608ac,d805c655-36ac-4eac-b297-7b458ef9087c,f9fcf3d1-44f9-4cd2-a945-19896d4ae248,True
7d267d43-37b6-47c6-84c5-dd89be8bf4d9,d805c655-36ac-4eac-b297-7b458ef9087c,eddf5ada-d9e0-485b-9ad7-073809dffbd7,True
d98d94e5-91cc-4e66-865d-85fa2eb9a880,d805c655-36ac-4eac-b297-7b458ef9087c,42b36794-752e-45e3-acb2-46d6183a9e22,True
5506f741-17cf-40a8-b35d-8e39a32d8a36,d805c655-36ac-4eac-b297-7b458ef9087c,cda65aa9-a8d5-4075-a9c8-22d5e1b2a22c,True
ef4fe917-83ca-43aa-9a5b-95473ff546ec,d805c655-36ac-4eac-b297-7b458ef9087c,be368a0b-4221-43c0-8604-fc27e3d1693f,True
2aba9607-d625-4cdf-b691-f5e57fb03e46,d805c655-36ac-4eac-b297-7b458ef9087c,9e241f1b-e2da-4075-ae9d-33d699d1195c,True
e7214ce3-ccb5-4cc1-bcd6-a5f4d1097823,d805c655-36ac-4eac-b297-7b458ef9087c,4e27db71-f7be-47e3-8fa0-8060ee60834c,True
ace688df-a59c-47ec-8ab6-42730b5df617,50af586f-5174-4e4d-bb57-d0052a9c1a57,217867c0-e74d-4745-a90d-19f6bc5b577e,True
10907540-4b8d-4671-a3d7-f661626ecfdf,50af586f-5174-4e4d-bb57-d0052a9c1a57,d41a0054-e1cc-4ede-8b31-a8a235b02c4d,True
