id,recipe_id,category_id
d2c6c1fc-d5ec-4a80-bd3e-b2af5df2af68,02f282c0-e21a-4acf-8339-00b70c59e0e2,21cc5bc1-61d3-4d8c-aed6-6a010996d5ab
f9800c37-2d29-45c1-b5fe-e03940729c7f,ddcab112-080e-4bb3-9ffc-f03012b579fe,32cdf7d6-b91c-4f18-95c1-11a3ed3c469a
fe5b1f1f-a6bd-45bf-a6de-5aa532944295,299ce570-3787-4299-a3b4-0da6a0b9455e,353f617c-7220-46c1-abf4-0b8696d8a805
b130d170-2561-4e02-a80c-bd4df946e004,f1e1bc64-0573-45e2-8b3e-c7c248e2d35f,353f617c-7220-46c1-abf4-0b8696d8a805
f97e0455-c7fe-4790-be45-7a02295bba8c,9f263654-4043-4882-8f43-57925a5c247e,62911dc4-2b13-43d4-8593-d60f98453780
4a5c42d1-4bca-44bf-9955-cc227ababac8,c4dbe038-33c6-4b11-b281-ac2c4c12e30c,62911dc4-2b13-43d4-8593-d60f98453780
f8637cec-78a2-4c0f-9c95-1aa5c6dc9f97,ecf2cf93-ebf2-4b7a-a761-998692b25710,90a49599-f03f-4d70-8eac-80b91df0e951
14a0b6a2-e5ac-422e-999d-335264fe2dc4,09650a04-71ea-47de-a5f7-6729f8a2b753,62911dc4-2b13-43d4-8593-d60f98453780
68b46045-b439-435f-8ab7-521d1cca93e3,3fbd7584-67f3-45ad-9c7f-cd2ae5607377,90a49599-f03f-4d70-8eac-80b91df0e951
879ab659-bdff-4962-bcbf-bb2907d1a20d,9b638874-ddb4-4202-9285-c98574b03d92,ceee0880-88b4-4735-aaf9-fc308a818779
793c7b6b-89da-463e-aa6d-7a25aed674c1,02f60bd7-ea99-49ad-88af-a0e621041eeb,62911dc4-2b13-43d4-8593-d60f98453780
a77ad57e-c23a-4f5d-9d46-9d776535b943,f82639db-9d72-4d64-bc40-74b4bee2007c,62911dc4-2b13-43d4-8593-d60f98453780
4c332704-44f3-4836-8f17-a432ef02e5b0,76ae5dcd-7d0d-444a-bc16-19289eca7990,62911dc4-2b13-43d4-8593-d60f98453780
ccd3672a-c2a0-493e-90e7-c6f18726ed15,9f6e415b-c7bd-429c-afdf-845b2b77a6c2,32cdf7d6-b91c-4f18-95c1-11a3ed3c469a
3f437672-6c8b-4077-a1f4-6a8f3a031c7b,a5b8285d-7304-482a-925d-35725df05683,ceee0880-88b4-4735-aaf9-fc308a818779
28c11df4-ff84-400c-9eed-8639d4247c37,dbac7a59-ea6e-4a9a-bf18-b4ce6b75a052,90a49599-f03f-4d70-8eac-80b91df0e951
5b9fd357-de3d-4a99-9944-5a361471539e,9d9bcd50-0e8d-4964-aa73-0afc95959699,ad6e42b1-1bb7-4b5e-8d6c-10c6a63bca9a
4b1d4012-c5fb-40ab-9c0a-15ec5608c0af,a69f4e1e-45a9-4e0e-b994-87b82dc136a3,62911dc4-2b13-43d4-8593-d60f98453780
61343f43-b87e-494b-841e-43373899f0f5,1f14bc4f-cd42-4ab3-a417-a5a3019f8695,21cc5bc1-61d3-4d8c-aed6-6a010996d5ab
b12bb6b0-c5b6-4e37-a589-1bfc1911273b,397cea0f-df4a-41e8-98ee-289c9a1a1586,32cdf7d6-b91c-4f18-95c1-11a3ed3c469a
142bea29-4538-4130-8484-79aa284258c4,0f818f80-d6a2-4ff5-9f43-7d7d2b2731b1,62911dc4-2b13-43d4-8593-d60f98453780
384e1d0d-9eeb-4b66-b1f3-8f47268ee960,3ef8d908-1f48-4f78-9d14-e2347b988c05,ceee0880-88b4-4735-aaf9-fc308a818779
