id,recipe_id,ingredient_id
2cda2511-7736-4e27-85e4-30a29a8289ec,02f282c0-e21a-4acf-8339-00b70c59e0e2,10dcdd38-14cb-4493-a058-ddb34fbed4a3
b99034dc-ca8f-4d63-a708-003749fcd95e,02f282c0-e21a-4acf-8339-00b70c59e0e2,1bffabfa-5d91-497e-8cb2-d55ce217fae2
4443617f-0f8d-4b50-a04d-d0fdfad085b4,02f282c0-e21a-4acf-8339-00b70c59e0e2,155434c7-a476-48d3-bb43-9fd3d957d772
c12feaad-4b66-4ab6-9ff4-1644c64a3d43,ddcab112-080e-4bb3-9ffc-f03012b579fe,17ddbf39-010d-4c2d-9db7-1ac11aeec6e5
0c966f84-c095-44b2-90e0-6be602fd6414,ddcab112-080e-4bb3-9ffc-f03012b579fe,741ebe40-6802-4404-becd-71e448ac54f2
5a107f1b-eb13-4b8d-8295-eaac40f8a9b6,ddcab112-080e-4bb3-9ffc-f03012b579fe,291aee1a-e03c-44e0-b465-224e772a5931
f2d87dbc-761d-4965-8b6b-17d83a93e4e7,299ce570-3787-4299-a3b4-0da6a0b9455e,d3135ab1-b290-4d84-8fa5-374f9c0d4d40
f8fbc907-dadf-4b26-995b-2787c80f0554,299ce570-3787-4299-a3b4-0da6a0b9455e,291aee1a-e03c-44e0-b465-224e772a5931
f72ba020-e79a-4420-8931-f8acaf46d75c,299ce570-3787-4299-a3b4-0da6a0b9455e,f158baed-8700-4e11-a8c3-7036cd0f8e6c
201e28f9-8366-4b08-839c-383ad4d52b9a,f1e1bc64-0573-45e2-8b3e-c7c248e2d35f,f158baed-8700-4e11-a8c3-7036cd0f8e6c
ce8a18ff-f9b1-44c1-9e71-c1dd65863ea2,f1e1bc64-0573-45e2-8b3e-c7c248e2d35f,46a437ec-2973-44a3-bf03-dfdeb33c3c6d
da1ab6d0-ae8b-47cb-afe5-238d5452b236,f1e1bc64-0573-45e2-8b3e-c7c248e2d35f,291aee1a-e03c-44e0-b465-224e772a5931
f6c4bd07-50e0-4025-abc5-b8cf9df3be7a,f1e1bc64-0573-45e2-8b3e-c7c248e2d35f,589f50e5-0026-4b00-8db9-52bfb4065ce4
d9aaed9f-7116-462f-8467-9f9b548fe628,9f263654-4043-4882-8f43-57925a5c247e,be7bc0e4-a4fe-476f-abd2-afc0b1146409
0322adcc-6033-4dd3-aa4c-ddec87795bbd,9f263654-4043-4882-8f43-57925a5c247e,daf2d2a7-c92f-40ff-9d9d-3f41ae478933
f3d8bfda-739a-4960-8ad9-c790c5e308b2,9f263654-4043-4882-8f43-57925a5c247e,7e7c78c5-2589-42ce-a0ad-503e1fdababc
de3817b4-3e76-4d5c-98c8-a94054bf79af,c4dbe038-33c6-4b11-b281-ac2c4c12e30c,be7bc0e4-a4fe-476f-abd2-afc0b1146409
cf0cf1af-b0f9-44d3-aa0c-da6ad1c49bb2,c4dbe038-33c6-4b11-b281-ac2c4c12e30c,7e7c78c5-2589-42ce-a0ad-503e1fdababc
