id,name
c2ee518f-5956-47dd-ab13-515233d79c74,avocado
24704cd0-b35d-47a1-b8d1-0fe13e04ec4c,banana
b989b1d1-a615-4a28-a63f-5ea4230f34ad,beans
3ddf3652-f70d-46ba-9760-3878204310f5,beef
360ce968-e313-4e2a-9c4c-12a28991d036,bread
467c94ff-bb23-4d57-81cc-7b582cf809ce,broccoli
7e7c78c5-2589-42ce-a0ad-503e1fdababc,butter
efa509ab-fb4a-400b-bef9-f59dc2ac582c,carrot
be7bc0e4-a4fe-476f-abd2-afc0b1146409,cheese
735a1224-e7b8-4999-86ba-f7aa212a7936,chicken
155434c7-a476-48d3-bb43-9fd3d957d772,chocolate
d03ebf94-6e26-49ee-8f12-91289f5ee70f,corn
52453ac0-522e-4561-afe7-faf9d60b6556,cream
17ddbf39-010d-4c2d-9db7-1ac11aeec6e5,egg
1bffabfa-5d91-497e-8cb2-d55ce217fae2,flour
f158baed-8700-4e11-a8c3-7036cd0f8e6c,garlic
d3135ab1-b290-4d84-8fa5-374f9c0d4d40,lentils
10dcdd38-14cb-4493-a058-ddb34fbed4a3,milk
e68b0f57-6df9-4396-b117-c25d5f136cb4,oats
c492f6b8-0b60-471a-bb2e-39cbe924d882,olive oil
589f50e5-0026-4b00-8db9-52bfb4065ce4,onion
fadab818-51fe-4243-ade0-adb71df28895,pasta
aaf23026-5078-4034-97ab-48042835a27c,pepper
daf2d2a7-c92f-40ff-9d9d-3f41ae478933,potato
9eac82f2-9c79-4ce8-9b2c-ac3a3e5fc3ab,quinoa
46a437ec-2973-44a3-bf03-dfdeb33c3c6d,rice
291aee1a-e03c-44e0-b465-224e772a5931,spinach
36334fae-fbfc-48d1-8362-d4b89c7db1f6,sugar
fe263116-f9f1-4e86-a593-a06ddfd392a7,tofu
741ebe40-6802-4404-becd-71e448ac54f2,tomato
3fd65cb7-40d0-4f3e-a11d-25491329b168,vanilla
c8b50898-5cee-4089-a0fa-70f895d3c1f5,yogurt
